Filename,Channel,Modifications,Dimensions,Pixel Scale X (nm),Pixel Scale Y (nm)
area20047_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.015,0.015
area20048_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.015,0.015
area20049_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.015,0.015
area20050_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.015,0.015
area20051_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.015,0.015
area20052_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.05,0.05
area20053_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.0125,0.0125
area20054_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.0125,0.0125
area20055_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.0125,0.0125
area30001_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",208 x 208,0.24038461538461536,0.24038461538461536
area30002_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.05,0.05
area30003_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.05,0.05
area30004_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.05,0.05
area30005_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.05,0.05
area50001_Z.jpg,Z,,400 x 400,0.1,0.1
